pdb_id,pep_identity,mhc_identity,total_identity
3gsx,44.4444444444,82.1229050279,63.2836747362
2cik,22.2222222222,89.3854748603,55.8038485413
3c9n,22.2222222222,88.8268156425,55.5245189323
1efx,11.1111111111,99.4413407821,55.2762259466
4hx1,22.2222222222,83.7988826816,53.0105524519
3v5h,22.2222222222,82.1229050279,52.1725636251
1tvh,22.2222222222,82.1229050279,52.1725636251
4lcy,11.1111111111,92.7374301676,51.9242706394
4nt6,11.1111111111,92.7374301676,51.9242706394
2bck,22.2222222222,79.8882681564,51.0552451893
