pdb_id,pep_identity,mhc_identity,total_identity
3gsx,44.4444444444,99.4413407821,71.9428926133
3mrl,33.3333333333,99.4413407821,66.3873370577
1i1y,22.2222222222,99.4413407821,60.8317815022
3v5h,22.2222222222,99.4413407821,60.8317815022
1tvh,22.2222222222,99.4413407821,60.8317815022
1qr1,22.2222222222,99.4413407821,60.8317815022
3to2,22.2222222222,99.4413407821,60.8317815022
1t1y,22.2222222222,99.4413407821,60.8317815022
3fqw,22.2222222222,99.4413407821,60.8317815022
1i7u,22.2222222222,99.4413407821,60.8317815022
2git,22.2222222222,99.4413407821,60.8317815022
4hx1,22.2222222222,94.4134078212,58.3178150217
